Date,^GSPC,GGAL.BA,YPFD.BA,PAMP.BA,APBR.BA,SUPV.BA,BMA.BA
3-Jan-14,1831.98,8.68,280.19,1.9,59.43,,18.34
7-Jan-14,1826.77,8.43,280.19,1.95,58.44,,17.26
8-Jan-14,1837.88,8.68,286.47,1.9,58.44,,17.87
9-Jan-14,1837.49,8.79,286.52,1.91,57.45,,18.13
10-Jan-14,1838.13,8.6,285.02,1.9,57.95,,18.04
14-Jan-14,1819.2,8.8,301.15,1.94,59.63,,18.56
15-Jan-14,1838.88,8.69,297.53,1.91,59.43,,18.38
16-Jan-14,1848.38,8.96,300.96,1.96,62.21,,18.9
17-Jan-14,1845.89,9.16,310.14,2.02,63.4,,19.98
21-Jan-14,1845.89,9.64,318.84,2.07,62.9,,20.89
22-Jan-14,1843.8,9.54,305.31,2.02,62.06,,20.71
23-Jan-14,1844.86,9.6,298.06,2.05,63.89,,21.15
24-Jan-14,1828.46,9.05,270.53,1.92,65.38,,19.59
28-Jan-14,1781.56,9.16,269.56,1.76,61.41,,19.16
29-Jan-14,1792.5,9.01,273.43,1.79,62.6,,18.69
30-Jan-14,1774.2,8.77,258.93,1.82,62.65,,18.25
31-Jan-14,1794.19,8.95,268.11,1.93,63.79,,18.56
4-Feb-14,1741.89,8.92,269.95,2.11,67.26,,18.99
5-Feb-14,1755.2,9.21,282.6,2.13,67.36,,18.43
6-Feb-14,1751.64,8.84,271.49,2.04,64.19,,17.87
7-Feb-14,1773.43,8.85,269.56,2,64.88,,17.52
11-Feb-14,1799.84,8.38,241.54,1.79,59.33,,16.83
12-Feb-14,1819.75,8.72,256.03,1.86,62.7,,17.31
13-Feb-14,1819.26,9.31,274.39,1.95,62.26,,18.3
14-Feb-14,1829.83,9.51,281.64,1.9,61.91,,18.9
18-Feb-14,1829.83,10.18,285.6,2.2,60.42,,20.37
19-Feb-14,1840.76,10.03,283.09,2.17,59.33,,20.24
20-Feb-14,1828.75,9.84,282.12,2.1,59.09,,19.68
21-Feb-14,1839.78,9.74,279.17,2.1,59.33,,20.02
25-Feb-14,1847.61,9.79,286.95,2.16,60.32,,20.71
26-Feb-14,1845.12,9.62,278.26,2.1,58.89,,20.37
27-Feb-14,1845.16,9.62,276.32,2.06,56.96,,20.37
28-Feb-14,1854.29,9.62,276.32,2.06,56.96,,20.37
4-Mar-14,1845.73,9.79,265.55,2.06,56.66,,20.28
5-Mar-14,1873.91,9.79,265.55,2.06,56.66,,20.28
6-Mar-14,1873.81,9.94,266.66,1.98,55.47,,20.54
7-Mar-14,1877.03,10.42,277.77,2.05,56.96,,21.49
11-Mar-14,1877.17,10.08,278.26,1.99,54.48,,21.58
12-Mar-14,1867.63,9.89,282.12,1.99,54.48,,20.71
13-Mar-14,1868.2,9.79,282.12,1.98,55.07,,20.46
14-Mar-14,1846.34,9.64,272.46,1.97,54.08,,20.2
18-Mar-14,1858.83,10.08,281.64,1.95,51.51,,21.15
19-Mar-14,1872.25,10.66,288.79,1.96,53.24,,22.18
20-Mar-14,1860.77,10.52,288.88,1.96,55.62,,21.58
21-Mar-14,1872.01,10.76,291.78,1.98,59.24,,22.05
25-Mar-14,1857.44,10.76,291.78,1.98,59.24,,22.05
26-Mar-14,1865.62,11.49,300,2.07,62.8,,23.52
27-Mar-14,1852.56,11.29,294.2,2.16,61.81,,22.87
28-Mar-14,1849.04,11.54,289.85,2.26,63.89,,22.87
1-Apr-14,1872.34,11.73,303.38,2.28,64.19,,23.91
2-Apr-14,1885.52,12.17,300.48,2.34,64.88,,24.51
3-Apr-14,1890.9,12.17,300.48,2.34,64.88,,24.51
4-Apr-14,1888.77,12.65,298.3,2.44,64.12,,25.03
8-Apr-14,1845.04,12.5,286.95,2.43,67.91,,25.85
9-Apr-14,1851.96,12.8,284.3,2.56,66.91,,26.41
10-Apr-14,1872.18,12.5,285.26,2.54,65.42,,26.33
11-Apr-14,1833.08,12.41,281.16,2.61,64.92,,26.41
15-Apr-14,1830.61,12.07,275.16,2.5,65.22,,25.98
16-Apr-14,1842.98,12.02,272.07,2.43,63.52,,25.98
17-Apr-14,1862.31,12.36,282.12,2.49,65.02,,26.15
18-Apr-14,1864.85,12.36,282.12,2.49,65.02,,26.15
22-Apr-14,1871.89,12.41,276.81,2.53,66.91,,25.81
23-Apr-14,1879.55,12.84,284.05,2.62,65.91,,26.5
24-Apr-14,1875.39,13.04,280.19,2.8,66.16,,27.19
25-Apr-14,1878.61,13.13,280.43,2.79,66.11,,26.93
29-Apr-14,1869.43,12.94,270.77,3.01,68.91,,25.89
30-Apr-14,1878.33,12.89,276.81,2.95,70.16,,26.07
1-May-14,1883.95,12.89,274.59,2.92,69.11,,25.63
2-May-14,1883.68,12.89,274.59,2.92,69.11,,25.63
6-May-14,1884.66,12.89,279.51,3.02,71.01,,26.67
7-May-14,1867.72,12.75,268.59,2.97,74.4,,26.33
8-May-14,1878.21,12.99,288.88,2.91,74.2,,26.76
9-May-14,1875.63,12.5,295.65,2.8,72.06,,25.89
13-May-14,1896.65,12.41,295.65,2.9,73.65,,25.46
14-May-14,1897.45,12.31,290.82,3.02,74.9,,25.63
15-May-14,1888.53,12.26,295.16,3.02,76.1,,25.85
16-May-14,1870.85,12.02,296.61,2.9,75.9,,25.55
20-May-14,1885.08,13.09,308.98,3.01,80.9,,27.62
21-May-14,1872.83,13.31,310.62,3,79.9,,27.79
22-May-14,1888.03,13.26,301.44,3.29,80.9,,28.05
23-May-14,1892.49,13.36,305.31,3.44,80.5,,28.4
27-May-14,1892.49,13.31,321.83,3.47,81.39,,28.09
28-May-14,1911.91,13.31,316.81,3.58,81.39,,28.31
29-May-14,1909.78,13.36,321.73,3.75,82.39,,28.4
30-May-14,1920.03,14.04,321.73,3.92,79.85,,29.61
3-Jun-14,1924.97,14.04,321.73,3.84,74.1,,29.61
4-Jun-14,1924.24,14.38,315.94,3.82,74.2,,30.86
5-Jun-14,1927.88,14.67,317.97,3.75,72.21,,30.94
6-Jun-14,1940.46,15.11,314.49,3.88,72.01,,32.28
10-Jun-14,1951.27,15.69,328.5,4.12,80.1,,34.18
11-Jun-14,1950.79,15.4,338.16,3.88,79.55,,33.96
12-Jun-14,1943.89,14.38,341.93,3.94,82.34,,31.42
13-Jun-14,1930.11,14.28,338.16,3.89,81.59,,30.73
17-Jun-14,1937.78,12.73,292.75,3.56,80.5,,27.62
18-Jun-14,1941.99,13.11,309.66,3.74,82.19,,28.91
19-Jun-14,1956.98,13.6,326.57,3.81,84.29,,29.09
20-Jun-14,1959.48,12.68,314.97,3.67,80.6,,27.19
24-Jun-14,1962.61,14.67,344.92,4,78.9,,32.15
25-Jun-14,1949.98,14.52,339.17,3.89,76.9,,31.24
26-Jun-14,1959.53,14.86,339.61,3.9,74.7,,32.54
27-Jun-14,1957.22,14.38,329.46,3.84,74.9,,32.38
1-Jul-14,1960.23,14.33,321.73,3.93,74.8,,32.82
2-Jul-14,1973.32,14.81,328.5,4.04,74,,33.27
3-Jul-14,1974.62,14.81,335.26,4.13,73.4,,34.86
4-Jul-14,1985.44,14.77,334.2,4.07,74.4,,34.33
8-Jul-14,1977.65,14.96,334.28,3.99,73.21,,34.78
9-Jul-14,1963.71,15.35,345.86,4.19,73.4,,34.78
10-Jul-14,1972.83,15.35,345.86,4.19,73.4,,34.78
11-Jul-14,1964.68,16.22,365.01,4.49,75.6,,37.7
15-Jul-14,1977.1,16.27,366.46,4.5,79.8,,41.21
16-Jul-14,1973.28,15.64,359.09,4.4,79.8,,38.32
17-Jul-14,1981.57,15.93,355.31,4.25,80.35,,37.84
18-Jul-14,1958.12,15.79,349.01,4,79.9,,37.79
22-Jul-14,1973.63,15.54,353.86,4.09,85.79,,38.5
23-Jul-14,1983.53,15.54,353.86,4.09,85.79,,38.5
24-Jul-14,1987.01,14.62,344.16,3.91,84.09,,36.37
25-Jul-14,1987.98,14.77,353.08,3.91,83.29,,37.44
29-Jul-14,1978.91,13.75,335.44,3.66,84.89,,34.42
30-Jul-14,1969.95,15.11,357.74,4.02,84.09,,37.26
31-Jul-14,1970.07,16.71,380.03,4.55,83.89,,40.36
1-Aug-14,1930.67,15.4,342.22,4.06,79.8,,37.17
5-Aug-14,1938.99,15.2,341.98,4.31,82.39,,36.37
6-Aug-14,1920.21,14.18,335.44,4.1,84.19,,34.15
7-Aug-14,1920.24,14.23,341.26,4.2,85.84,,33.89
8-Aug-14,1909.57,14.81,341.16,4.35,84.89,,34.6
12-Aug-14,1936.92,14.43,336.89,4.32,87.49,,34.38
13-Aug-14,1933.75,14.67,345.13,4.39,89.88,,35.93
14-Aug-14,1946.72,14.81,349.01,4.34,87.89,,36.68
15-Aug-14,1955.18,14.09,346.1,4.22,89.78,,35.93
19-Aug-14,1971.74,14.67,364.52,4.37,96.18,,36.59
20-Aug-14,1981.6,14.67,375.91,4.51,100.87,,36.99
21-Aug-14,1986.51,14.57,381,4.38,108.61,,36.82
22-Aug-14,1992.37,14.57,381,4.38,108.61,,36.82
26-Aug-14,1997.92,15.4,399.42,4.52,110.91,,38.5
27-Aug-14,2000.02,15.35,408.15,4.45,114.85,,39.03
28-Aug-14,2000.12,15.74,417.36,4.55,123.84,,40.72
29-Aug-14,1996.74,15.83,415.86,4.49,123.34,,40.59
2-Sep-14,1996.74,15.64,418.81,4.58,132.68,,39.57
3-Sep-14,2002.28,16.13,425.12,4.58,135.02,,40.72
4-Sep-14,2000.72,17,446.44,4.86,131.18,,42.76
5-Sep-14,1997.65,16.27,427.54,4.69,122.34,,41.43
9-Sep-14,2001.54,17.58,444.26,5.24,121.99,,45.42
10-Sep-14,1988.44,17.53,447.41,5.32,120.74,,44.71
11-Sep-14,1995.69,18.02,453.71,5.3,116.35,,44.8
12-Sep-14,1997.45,18.41,458.56,5.4,118.45,,46.13
16-Sep-14,1984.13,18.85,461.57,5.5,111.46,,47.02
17-Sep-14,1998.98,19.43,488.62,5.77,118.75,,48.44
18-Sep-14,2001.57,19.58,488.62,5.72,120.79,,49.59
19-Sep-14,2011.36,19.53,488.13,5.65,117.85,,49.94
23-Sep-14,1994.29,20.06,516.73,6,119.84,,53.09
24-Sep-14,1982.77,19.72,515.76,6.13,115.5,,51.99
25-Sep-14,1998.3,19.87,520.12,6.14,117.25,,51.45
26-Sep-14,1965.99,19.53,512.46,6.04,113.85,,51.45
30-Sep-14,1977.8,20.64,534.18,6.5,110.66,,52.96
1-Oct-14,1972.29,20.4,540.97,6.41,107.86,,50.12
2-Oct-14,1946.16,19.14,487.65,5.82,97.07,,49.24
3-Oct-14,1946.17,17.39,453.23,5.47,95.88,,45.69
7-Oct-14,1964.82,16.22,462.44,5.63,109.86,,42.14
8-Oct-14,1935.1,16.17,447.9,5.57,117.35,,41.69
9-Oct-14,1968.89,15.93,443.05,5.64,113.85,,41.69
10-Oct-14,1928.21,15.35,412.37,5.29,113.35,,38.32
14-Oct-14,1874.74,15.06,404.27,5.25,104.96,,37.97
15-Oct-14,1877.7,14.91,393.61,5,112.6,,37.26
16-Oct-14,1862.49,15.06,387.79,4.78,102.77,,36.82
17-Oct-14,1862.76,15.64,401.36,5.08,99.27,,38.94
21-Oct-14,1904.01,18.36,424.15,5.9,98.87,,43.03
22-Oct-14,1941.28,17.92,434.33,5.68,91.38,,42.58
23-Oct-14,1927.11,17.39,422.21,5.5,86.89,,41.52
24-Oct-14,1950.82,17.05,407.13,5.32,80.9,,40.81
28-Oct-14,1961.63,17.49,407.18,5.57,76.4,,42.4
29-Oct-14,1985.05,18.26,404.27,5.52,77.5,,44.93
30-Oct-14,1982.3,17.63,400.39,5.49,73.4,,44.09
31-Oct-14,1994.65,18.22,416.87,5.71,75.65,,45.24
4-Nov-14,2017.81,19.72,456.62,6.25,74.9,,50.97
5-Nov-14,2012.1,19.19,433.36,6.13,74.1,,49.81
6-Nov-14,2023.57,19.09,430.45,6,73.3,,48.79
7-Nov-14,2031.21,19.09,430.45,6,73.3,,48.79
11-Nov-14,2038.26,18.56,422.69,5.87,66.41,,46.31
12-Nov-14,2039.68,18.07,417.8,5.7,66.76,,45.07
13-Nov-14,2038.25,17.97,404.08,5.51,65.22,,44.8
14-Nov-14,2039.33,18.17,398.45,5.37,63.17,,43.91
18-Nov-14,2041.32,18.22,387.79,5.2,56.13,,44.36
19-Nov-14,2051.8,18.26,381.05,5.47,56.93,,45.07
20-Nov-14,2048.72,17.78,375.19,5.3,56.93,,43.91
21-Nov-14,2052.75,18.02,388.76,5.39,58.87,,43.91
25-Nov-14,2069.41,18.26,395.45,5.79,65.91,,44.71
26-Nov-14,2067.03,18.26,405.24,5.47,63.12,,45.69
27-Nov-14,2072.83,18.7,405.73,5.59,63.92,,47.28
28-Nov-14,2072.83,18.8,401.36,5.62,62.12,,47.73
2-Dec-14,2053.44,18.02,368.4,5.12,53.43,,43.47
3-Dec-14,2066.55,18.17,358.22,5.15,53.93,,43.91
4-Dec-14,2074.33,18.6,366.46,5.37,56.93,,46.13
5-Dec-14,2071.92,18.6,360.65,5.2,53.58,,45.86
9-Dec-14,2060.31,18.6,360.65,5.2,53.58,,45.86
10-Dec-14,2059.82,17.34,311.2,5.24,48.04,,43.82
11-Dec-14,2026.14,16.03,287.93,4.8,44.14,,40.81
12-Dec-14,2035.33,17.19,300.54,5.07,43.74,,42.45
16-Dec-14,1989.63,15.83,247.22,4.32,34.95,,39.21
17-Dec-14,1972.74,15.74,258.85,4.3,37.1,,38.59
18-Dec-14,2012.89,16.32,276.3,4.4,38.75,,39.03
19-Dec-14,2061.23,16.37,269.03,4.25,39.45,,39.92
23-Dec-14,2078.54,17.49,278.24,4.39,43.44,,43.47
24-Dec-14,2082.17,17.88,281.15,4.51,44.54,,45.02
25-Dec-14,2081.88,17.88,281.15,4.51,44.54,,45.02
29-Dec-14,2081.88,17.88,281.15,4.51,44.54,,45.02
30-Dec-14,2090.57,17.58,293.75,4.55,41.45,,43.78
31-Dec-14,2080.35,17.97,305.38,4.41,44.04,,43.91
1-Jan-15,2058.9,17.97,305.38,4.41,44.04,,43.91
5-Jan-15,2058.9,17.97,305.38,4.41,44.04,,43.91
6-Jan-15,2020.58,17.39,289.39,4.45,36.8,,43.03
7-Jan-15,2002.61,17.58,288.18,4.36,36.3,,42.14
8-Jan-15,2025.9,17.97,289.82,4.6,38.9,,43.47
9-Jan-15,2062.14,17.92,288.9,4.93,41.75,,43.47
13-Jan-15,2028.26,18.07,279.21,4.84,40.05,,44.36
14-Jan-15,2023.03,18.8,268.54,4.9,41.15,,44.36
15-Jan-15,2011.27,19.53,279.69,4.98,42.1,,47.02
16-Jan-15,1992.67,19.28,280.18,4.94,43.14,,47.02
20-Jan-15,1992.67,19.87,286.96,5.05,42.94,,46.84
21-Jan-15,2022.55,20.35,281.24,5.09,42.54,,46.13
22-Jan-15,2032.12,19.96,284.54,5.2,44.89,,44.27
23-Jan-15,2063.15,19.53,292.68,5.17,46.74,,42.18
27-Jan-15,2057.09,19.53,289.87,5.33,45.09,,43.38
28-Jan-15,2029.55,19.92,298.6,5.59,46.19,,42.58
29-Jan-15,2002.16,19.92,287.93,5.75,42,,43.47
30-Jan-15,2021.25,19.33,275.91,5.57,39.35,,41.96
3-Feb-15,2020.85,19.92,280.18,5.45,39.15,,43.38
4-Feb-15,2050.03,20.16,292.78,5.59,43.74,,44.22
